"input_text","_source","gold","text"
"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , @PHENOMENA$ , Land area , Land area where elevation is below 5 meters , Mammal species , @ENVIRONMENT$ , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , Plant species , Population living in areas where elevation is below 5 meters , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry","entity_pair","NA","Source : Last updated at : ######## [ More about U.S. Government Works ] ( Public Domain us_isobioclimate_1km_dd83_img_vat value Value number # decimal value count Count number # decimal count red Red number # decimal red green Green number # decimal green blue Blue number # decimal blue opacity Opacity number # decimal opacity data/us_isobioclimate_1km_dd83_img_vat.csv csv original/pdf-file-5.pdf original/pdf-file-5.pdf pdf application/pdf 49486360 original/resource_links.md original/resource_links.md md text/markdown 309 original/us_isobioclimate_1km_dd83.img original/us_isobioclimate_1km_dd83.img img application/x-erdas-hfa 21365980 original/us_isobioclimate_1km_dd83.img.vat.dbf original/us_isobioclimate_1km_dd83.img.vat.dbf dbf application/dbf 13666 original/us_isobioclimate_1km_dd83.rrd original/us_isobioclimate_1km_dd83.rrd rrd application/x-erdas-hfa 2004825 original/us_lithology_1km_dd83.img original/us_lithology_1km_dd83.img img application/x-erdas-hfa 18698983 original/us_lithology_1km_dd83.rrd original/us_lithology_1km_dd83.rrd rrd application/x-erdas-hfa 1733048 @PHENOMENA$ @ENVIRONMENT$ environment geo geoss texture thickness usgs"
"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , @PHENOMENA$ , Land area , Land area where elevation is below 5 meters , Mammal species , @ENVIRONMENT$ , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , Plant species , Population living in areas where elevation is below 5 meters , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry","entity_pair","NA","Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , @PHENOMENA$ , @ENVIRONMENT$ , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india"
"( CSP15 : BEF research plot where the @QUALITY$ of @ORGANISM$ x is estimated ) dimensionless real Abundance Number of individuals determined for the respective category .","entity_pair","HAVE","We measured above- and below-ground carbon stocks as well as the @QUALITY$ of four groups of plants and eight of @ORGANISM$ on 14 representative plots in Sulawesi , Indonesia , ranging from natural rainforest to cacao agroforests that have replaced former natural forest ."
"( CSP15 : BEF research plot where the @QUALITY$ of @ORGANISM$ x is estimated ) dimensionless real Abundance Number of individuals determined for the respective category .","entity_pair","INFLUENCE","Using a combination of @QUALITY$ analyses , metagenomics , and whole-genome sequencing , we reveal that the fungus garden microbiome of leaf-cutter @ORGANISM$ is composed of a diverse community of bacteria with high plant biomass-degrading capacity ."
"( CSP15 : BEF research plot where the @QUALITY$ of @ORGANISM$ x is estimated ) dimensionless real Abundance Number of individuals determined for the respective category .","entity_pair","NA","Here we analyse patterns of marine mammal @QUALITY$ based on predictions of global distributional ranges for 115 @ORGANISM$ , including all extant pinnipeds and cetaceans ."
"( CSP15 : BEF research plot where the @QUALITY$ of @ORGANISM$ x is estimated ) dimensionless real Abundance Number of individuals determined for the respective category .","entity_pair","NA","We tested speciesspecific differences of crown area , @QUALITY$ and stem inclination using a mixed effects model with @ORGANISM$ as fixed effect and plot as random effect ."
"( CSP15 : BEF research plot where the @QUALITY$ of @ORGANISM$ x is estimated ) dimensionless real Abundance Number of individuals determined for the respective category .","entity_pair","NA","Mind that the azimuth may have to be corrected given the date and location , since it depends on the magnetic field of the earth.CSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP metal tag number ( trees , @QUALITY$ debris ) ; Datagroup description : CSP @ORGANISM$ individuals were marked mostly with metal tags but also additional tags were used ."
"Here we explore contemporary anthropogenic global patterns in vascular plant @QUALITY$ at regional landscape scales by combining spatially explicit models and estimates for native @ORGANISM$ loss together with gains in exotics caused by species invasions and the introduction of agricultural domesticates and ornamental exotic plants .","entity_pair","HAVE","We measured above- and below-ground carbon stocks as well as the @QUALITY$ of four groups of plants and eight of @ORGANISM$ on 14 representative plots in Sulawesi , Indonesia , ranging from natural rainforest to cacao agroforests that have replaced former natural forest ."
"Here we explore contemporary anthropogenic global patterns in vascular plant @QUALITY$ at regional landscape scales by combining spatially explicit models and estimates for native @ORGANISM$ loss together with gains in exotics caused by species invasions and the introduction of agricultural domesticates and ornamental exotic plants .","entity_pair","INFLUENCE","Using a combination of @QUALITY$ analyses , metagenomics , and whole-genome sequencing , we reveal that the fungus garden microbiome of leaf-cutter @ORGANISM$ is composed of a diverse community of bacteria with high plant biomass-degrading capacity ."
"Here we explore contemporary anthropogenic global patterns in vascular plant @QUALITY$ at regional landscape scales by combining spatially explicit models and estimates for native @ORGANISM$ loss together with gains in exotics caused by species invasions and the introduction of agricultural domesticates and ornamental exotic plants .","entity_pair","NA","Here we analyse patterns of marine mammal @QUALITY$ based on predictions of global distributional ranges for 115 @ORGANISM$ , including all extant pinnipeds and cetaceans ."
"Here we explore contemporary anthropogenic global patterns in vascular plant @QUALITY$ at regional landscape scales by combining spatially explicit models and estimates for native @ORGANISM$ loss together with gains in exotics caused by species invasions and the introduction of agricultural domesticates and ornamental exotic plants .","entity_pair","NA","We tested speciesspecific differences of crown area , @QUALITY$ and stem inclination using a mixed effects model with @ORGANISM$ as fixed effect and plot as random effect ."
"Here we explore contemporary anthropogenic global patterns in vascular plant @QUALITY$ at regional landscape scales by combining spatially explicit models and estimates for native @ORGANISM$ loss together with gains in exotics caused by species invasions and the introduction of agricultural domesticates and ornamental exotic plants .","entity_pair","NA","Mind that the azimuth may have to be corrected given the date and location , since it depends on the magnetic field of the earth.CSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP metal tag number ( trees , @QUALITY$ debris ) ; Datagroup description : CSP @ORGANISM$ individuals were marked mostly with metal tags but also additional tags were used ."
"In a mesocosm study we manipulated plant functional diversity based on the multi-trait Functional Diversity ( FD ) #NAME? of Petchey and Gaston by using database data of seven functional @QUALITY$ and information on the origin of the @ORGANISM$ in terms of being native or exotic .","entity_pair","HAVE","We measured above- and below-ground carbon stocks as well as the @QUALITY$ of four groups of plants and eight of @ORGANISM$ on 14 representative plots in Sulawesi , Indonesia , ranging from natural rainforest to cacao agroforests that have replaced former natural forest ."
"In a mesocosm study we manipulated plant functional diversity based on the multi-trait Functional Diversity ( FD ) #NAME? of Petchey and Gaston by using database data of seven functional @QUALITY$ and information on the origin of the @ORGANISM$ in terms of being native or exotic .","entity_pair","INFLUENCE","Using a combination of @QUALITY$ analyses , metagenomics , and whole-genome sequencing , we reveal that the fungus garden microbiome of leaf-cutter @ORGANISM$ is composed of a diverse community of bacteria with high plant biomass-degrading capacity ."
"In a mesocosm study we manipulated plant functional diversity based on the multi-trait Functional Diversity ( FD ) #NAME? of Petchey and Gaston by using database data of seven functional @QUALITY$ and information on the origin of the @ORGANISM$ in terms of being native or exotic .","entity_pair","NA","Here we analyse patterns of marine mammal @QUALITY$ based on predictions of global distributional ranges for 115 @ORGANISM$ , including all extant pinnipeds and cetaceans ."
"In a mesocosm study we manipulated plant functional diversity based on the multi-trait Functional Diversity ( FD ) #NAME? of Petchey and Gaston by using database data of seven functional @QUALITY$ and information on the origin of the @ORGANISM$ in terms of being native or exotic .","entity_pair","NA","We tested speciesspecific differences of crown area , @QUALITY$ and stem inclination using a mixed effects model with @ORGANISM$ as fixed effect and plot as random effect ."
"In a mesocosm study we manipulated plant functional diversity based on the multi-trait Functional Diversity ( FD ) #NAME? of Petchey and Gaston by using database data of seven functional @QUALITY$ and information on the origin of the @ORGANISM$ in terms of being native or exotic .","entity_pair","NA","Mind that the azimuth may have to be corrected given the date and location , since it depends on the magnetic field of the earth.CSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP metal tag number ( trees , @QUALITY$ debris ) ; Datagroup description : CSP @ORGANISM$ individuals were marked mostly with metal tags but also additional tags were used ."
"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up .","entity_pair","INFLUENCE","Our meta-analysis shows a significant decline of the diversity and @QUALITY$ invertebrates in response to @PHENOMENA$ with anecic and endogeic earthworms causing the strongest effects . ."
"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up .","entity_pair","HAVE","-- - The climate at Gutianshan NNR is warm and @QUALITY$ with a @PHENOMENA$ in November and December and with warm summers ( Fig ."
"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up .","entity_pair","NA","Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - @QUALITY$ ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( thoughfall_mm : Throughfall as measured by the @PHENOMENA$ collecting bottles ) millimeter real Precipitation Precipitation measured at the climate station or locally within sites ."
"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up .","entity_pair","NA","Policies that promote @QUALITY$ efficiency or conservation in the electric sector would reduce water withdrawn/manipulated by 27Ã¢â¬â36 m3GJÃ¢Ëâ1 ( 0.1Ã¢â¬â0.5 m3GJÃ¢Ëâ1 @PHENOMENA$ ) , while such policies in the liquid fuel sector would reduce withdrawal/manipulation by 0.4Ã¢â¬â0.7 m3GJÃ¢Ëâ1 ( 0.2Ã¢â¬â0.3 m3GJÃ¢Ëâ1 consumption ) ."
"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up .","entity_pair","NA","Objectives were : Collect soil samples via stratified random sampling for composition analysis ; consult horticultural specialists to determine the best locations to outplant specific native plant species ; propagate 3 native Hawaiian plant species ( Cyperus pennatiformes , Chenopodium oahuense , Santalum ellipticum ) on Laysan Island in abundance and out-plant in the recommended @QUALITY$ during the @PHENOMENA$ of 2012 to test horticulturist recommendations ."
"Historical water use by the energy sector is related to patterns of fish species endangerment , where @MATTER$ resource regions with a greater fraction of available surface water withdrawn by hydropower or consumed by the @QUALITY$ sector correlated with higher probabilities of imperilment .","entity_pair","INFLUENCE","Features of @MATTER$ / Primary constituents / Hand texture ( fine earth ) : @QUALITY$ II ; hand_text48 Soil description ( according to `` Bodenkundliche Kartieranleitung Kartieranleitung ) ( rock_artefacts49 ) , rock_artefacts49 Basic information on soil properties , according to `` Eckelmann , W. , Sponagel , H. , Grottenthaler , W. , Hartmann , J. K. , Hartwich , R. , Janetzko , P. , ... & Traidl , R. ( 2005 ) ."
"Historical water use by the energy sector is related to patterns of fish species endangerment , where @MATTER$ resource regions with a greater fraction of available surface water withdrawn by hydropower or consumed by the @QUALITY$ sector correlated with higher probabilities of imperilment .","entity_pair","HAVE","medium sand : 630-200ÃŽÂ¼m sieves and KÃƒÂ¶hn pipette , drying oven , balance Grain size distribution ( fsa ) , ... fsa Wikipedia on soil classification : Engineers , typically geotechnical engineers , classify @MATTER$ according to their @QUALITY$ as they relate to use for foundation support or building material ."
"Historical water use by the energy sector is related to patterns of fish species endangerment , where @MATTER$ resource regions with a greater fraction of available surface water withdrawn by hydropower or consumed by the @QUALITY$ sector correlated with higher probabilities of imperilment .","entity_pair","NA","Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse @MATTER$ emissions , Total natural resources rents , Urban @QUALITY$ , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india"
"Historical water use by the energy sector is related to patterns of fish species endangerment , where @MATTER$ resource regions with a greater fraction of available surface water withdrawn by hydropower or consumed by the @QUALITY$ sector correlated with higher probabilities of imperilment .","entity_pair","NA","For example , increasing earthworm abundances and functional group composition were shown to be positively correlated with @MATTER$ infiltration rate ( dependent on tillage regime and habitat characteristics ) ; while positive changes in @QUALITY$ measures were positively associated with soil microaggregate stability ."
"Historical water use by the energy sector is related to patterns of fish species endangerment , where @MATTER$ resource regions with a greater fraction of available surface water withdrawn by hydropower or consumed by the @QUALITY$ sector correlated with higher probabilities of imperilment .","entity_pair","NA","pH ( @MATTER$ ) is the current @QUALITY$ ."
"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - @QUALITY$ open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_b : rainfall amount open field ( collecting bottle ) mm -- rainfall amount ( collecting bottle ) -- measured by a rainfall collecting bottle ) millimeter real Precipitation Precipitation measured at the climate station or locally within sites .","entity_pair","INFLUENCE","Overall , positive net biodiversity effects were strongest during @PHENOMENA$ and increased with increasing @QUALITY$ of neighbours ."
"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - @QUALITY$ open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_b : rainfall amount open field ( collecting bottle ) mm -- rainfall amount ( collecting bottle ) -- measured by a rainfall collecting bottle ) millimeter real Precipitation Precipitation measured at the climate station or locally within sites .","entity_pair","HAVE","Ways to quantify @PHENOMENA$ : @QUALITY$ open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( top5_t : average of the five highest five minute intensities ( tipping-bucket ) -- average of the five highest five minute intensities ( tipping-bucket ) -- measured by the tipping-bucket rain gauge ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites ."
"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - @QUALITY$ open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_b : rainfall amount open field ( collecting bottle ) mm -- rainfall amount ( collecting bottle ) -- measured by a rainfall collecting bottle ) millimeter real Precipitation Precipitation measured at the climate station or locally within sites .","entity_pair","NA","( loss_o : average sandloss open field g m-2 -- -- ) real Deriving kinetic energy from @PHENOMENA$ @QUALITY$ is derived from sand loss out of splashcups ."
